title,Production company,Country,Language,Budget,Box office,Release date,Directed by,profit,Sum_profit_by_directed,count_title_by_directed,genre
101 Dalmatians,"['Walt Disney Pictures', 'Great Oaks Entertainment']",United States,English,75000000,320700000,1996-11-27,Stephen Herek,245700000,306400000,3,Comedy
102 Dalmatians,"['Walt Disney Pictures', 'Cruella Productions', 'Kanzaman S.A.M. Films']",United States,English,85000000,183600000,2000-11-22,Kevin Lima,98600000,354100000,2,Comedy
"20,000 Leagues Under the Sea",Walt Disney Productions,United States,English,5000000,28200000,1954-12-23,Richard Fleischer,23200000,23200000,1,Adventure
A Bug's Life,"['Walt Disney Pictures', 'Pixar Animation Studios']",United States,English,120000000,363300000,1998-11-20,John Lasseter,243300000,1697800000,5,Adventure
A Christmas Carol,"['Walt Disney Pictures', 'ImageMovers Digital']",United States,English,175000000,325000000,2009-11-03,Robert Zemeckis,150000000,150000000,1,Animation
A Kid in King Arthur's Court,"['Walt Disney Pictures', 'Trimark Pictures', 'Tapestry Films']","['United Kingdom', 'United States']",English,15000000,13400000,1995-08-11,Michael Gottlieb,-1600000,-1600000,1,Adventure
A Wrinkle in Time,,United States,English,100,133400000,2018-02-26,Ava DuVernay,133399900,133399900,1,Fantasy
African Cats,"['Disneynature', 'Fothergill / Scholey Productions', 'Silverback Films']","['United States', 'France', 'United Kingdom']","['English', 'French']",5000000,30900000,2011-04-22,"['Alastair Fothergill', 'Keith Scholey']",25900000,42200000,2,Documentary
Air Bud,"['Keystone Pictures', 'Buddy Films, Inc.']","['United States', 'Canada']",English,3000000,27800000,1997-08-01,Charles Martin Smith,24800000,24800000,1,Comedy
Aladdin,,United States,English,28000000,504100000,1992-11-25,"['John Musker', 'Ron Clements']",476100000,476100000,1,Comedy
"Alexander and the Terrible, Horrible, No Good, Very Bad Day","['Walt Disney Pictures', '21 Laps Entertainment', 'The Jim Henson Company']",United States,English,28000000,100700000,2014-10-06,Miguel Arteta,72700000,72700000,1,Comedy
Alice Through the Looking Glass,"['Walt Disney Pictures', 'Roth Films', 'Team Todd', 'Tim Burton Productions']",United States,English,170000000,299500000,2016-05-10,James Bobin,129500000,279100000,3,Adventure
Alice in Wonderland,Walt Disney Productions,United States,English,3000000,5600000,1951-07-26,"['Clyde Geronimi', 'Wilfred Jackson', 'Hamilton Luske']",2600000,269000000,3,Adventure
Alice in Wonderland,"['Walt Disney Pictures', 'Roth Films', 'The Zanuck Company', 'Team Todd']",United States,English,200000000,1025000000,2010-02-25,Tim Burton,825000000,1050800000,3,Adventure
Anaganaga O Dheerudu,"['Disney World Cinema', 'A Bellyful of Dreams Entertainment', 'Arka Media Works', 'Walt Disney Pictures India']",India,Telugu,3800000,7000000,2011-01-14,Prakash Kovelamudi,3200000,3200000,1,Fantasy
Angels in the Outfield,"['Walt Disney Pictures', 'Caravan Pictures']",United States,English,31000000,50200000,1994-07-15,William Dear,19200000,19200000,1,Comedy
Around the World in 80 Days,"['Walt Disney Pictures', 'Walden Media', 'Spanknyce Films', 'Mostow/Lieberman Productions']",United Kingdom,"['English', 'French', 'Mandarin Chinese', 'Hindi']",110000000,72200000,2004-06-13,Frank Coraci,-37800000,-37800000,1,Adventure
Arrietty,Studio Ghibli,Japan,Japanese,23000000,146000000,2010-07-17,Hiromasa Yonebayashi,123000000,123000000,1,Animation
Atlantis: The Lost Empire,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",United States,English,90,186100000,2001-06-03,"['Gary Trousdale', 'Kirk Wise']",186099910,826499910,3,Adventure
Babes in Toyland,Walt Disney Productions,United States,English,3000000,4600000,1961-12-14,Jack Donohue,1600000,1600000,1,Musical
Bambi,Walt Disney Productions,United States,English,858000,267400000,1942-08-09,"['Supervising director', 'David Hand', 'Sequence directors', 'James Algar', 'Samuel Armstrong', 'Graham Heid', 'Bill Roberts', 'Paul Satterfield', 'Norman Wright']",266542000,266542000,1,Animation
Bears,"['Disneynature', 'Silverback Films']",United States,English,5000000,21300000,2014-04-18,"['Alastair Fothergill', 'Keith Scholey']",16300000,42200000,2,Documentary
Beauty and the Beast,,United States,English,25000000,440100000,1991-09-29,"['Gary Trousdale', 'Kirk Wise']",415100000,826499910,3,Musical
Beauty and the Beast,"['Walt Disney Pictures', 'Mandeville Films']",United States,English,160,1264000000,2017-02-23,Bill Condon,1263999840,1263999840,1,Musical
Bedknobs and Broomsticks,Walt Disney Productions,United States,English,6300000,17900000,1971-10-07,Robert Stevenson,11600000,162963995.6,4,Musical
Bedtime Stories,"['Walt Disney Pictures', 'Happy Madison Productions', 'Gunn Films', 'Offspring Entertainment', 'Conman & Izzy Productions']",United States,English,80000000,212900000,2008-12-25,Adam Shankman,132900000,275500000,2,Comedy
Beverly Hills Chihuahua,"['Walt Disney Pictures', 'Mandeville Films', 'Smart Entertainment']",United States,English,20000000,149300000,2008-10-03,Raja Gosnell,129300000,129300000,1,Comedy
Big Hero 6,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",United States,English,165000000,657800000,2014-10-23,"['Don Hall', 'Chris Williams']",492800000,492800000,1,Adventure
Blank Check,Walt Disney Pictures,United States,English,13000000,30600000,1994-02-11,Rupert Wainwright,17600000,17600000,1,Comedy
Bolt,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",United States,English,150000000,310000000,2008-11-21,"['Chris Williams', 'Byron Howard']",160000000,160000000,1,Comedy
Bon Voyage!,Walt Disney Productions,United States,English,3000000,5000000,1962-05-17,James Neilson,2000000,2000000,1,Comedy
Born in China,"['Disneynature', 'Shanghai Media Group', 'Chuan Films', 'Brian Leith Productions']","['United States', 'China', 'France']","['English', 'Mandarin', 'French']",5,25100000,2016-08-12,Lu Chuan,25099995,25099995,1,Documentary
Brave,"['Walt Disney Pictures', 'Pixar Animation Studios']","['United Kingdom', 'United States']",English,185000000,540400000,2012-06-10,"['Mark Andrews', 'Brenda Chapman']",355400000,355400000,1,Adventure
Bridge to Terabithia,,United States,English,20,138000000,2007-02-16,Gรกbor Csupรณ,137999980,137999980,1,Drama
Brother Bear,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",United States,English,46000000,250400000,2003-11-01,"['Aaron Blaise', 'Robert Walker']",204400000,204400000,1,Adventure
Cars,"['Walt Disney Pictures', 'Pixar Animation Studios']",United States,English,120000000,462000000,2006-05-26,John Lasseter,342000000,1697800000,5,Animation
Cars 2,"['Walt Disney Pictures', 'Pixar Animation Studios']",United States,English,200000000,562100000,2011-06-18,John Lasseter,362100000,1697800000,5,Animation
Cars 3,"['Walt Disney Pictures', 'Pixar Animation Studios']",United States,English,175000000,383900000,2017-05-23,Brian Fee,208900000,208900000,1,Animation
Cheetah,"['Walt Disney Pictures', 'Silver Screen Partners III']",United States,English,5000000,8153677,1989-08-18,Jeff Blyth,3153677,3153677,1,Adventure
Chicken Little,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",United States,English,150000000,314400000,2005-10-30,Mark Dindal,164400000,233700000,2,Adventure
Chimpanzee,"['Disneynature', 'Great Ape Productions']","['United States', 'France', 'United Kingdom']","['English', 'French']",5000000,34800000,2012-04-20,"['Alastair Fothergill', 'Mark Linfield']",29800000,91800000,2,Documentary
Christopher Robin,"['Walt Disney Pictures', '2DUXยฒ']",United States,English,70000000,197700000,2018-07-30,Marc Forster,127700000,127700000,1,Fantasy
Cinderella,Walt Disney Productions,United States,English,2900000,263600000,1950-02-15,"['Clyde Geronimi', 'Hamilton Luske', 'Wilfred Jackson']",260700000,260700000,1,Drama
Cinderella,"['Walt Disney Pictures', 'Kinberg Genre', 'Allison Shearmur Productions', 'Beagle Pug Films']","['United States', 'United Kingdom']",English,95,542400000,2015-02-13,Kenneth Branagh,542399905,542399905,1,Drama
Coco,"['Walt Disney Pictures', 'Pixar Animation Studios']",United States,English,175000000,807800000,2017-10-20,Lee Unkrich,632800000,1499800000,2,Animation
College Road Trip,"['Walt Disney Pictures', 'Gunn Films', 'Head Gear Films']",United States,English,25000000,51500000,2008-03-07,Roger Kumble,26500000,26500000,1,Comedy
Confessions of a Teenage Drama Queen,Walt Disney Pictures,United States,English,15000000,33100000,2004-02-20,Sara Sugarman,18100000,18100000,1,Comedy
Cool Runnings,Walt Disney Pictures,United States,English,17000000,154900000,1993-10-01,Jon Turteltaub,137900000,825200000,5,Comedy
Dinosaur,"['Walt Disney Pictures', 'Walt Disney Feature Animation', 'The Secret Lab']",United States,English,127500000,349800000,2000-05-19,"['Ralph Zondag', 'Eric Leighton']",222300000,222300000,1,Adventure
Doug's 1st Movie,"['Walt Disney Pictures', 'Jumbo Pictures', 'Walt Disney Television Animation', 'Plus One Animation']",United States,English,5000000,19400000,1999-03-26,Maurice Joyce,14400000,14400000,1,Adventure
Dragonslayer,"['Paramount Pictures', 'Walt Disney Productions']",United States,English,18000000,14100000,1981-06-26,Matthew Robbins,-3900000,-3900000,1,Fantasy
DuckTales the Movie: Treasure of the Lost Lamp,,United States,English,20000000,18100000,1990-08-03,Bob Hathcock,-1900000,-1900000,1,Animation
Dumbo,Walt Disney Productions,United States,English,950000,1300000,1941-10-23,"['Ben Sharpsteen', '(supervising director)', 'Norman Ferguson', 'Wilfred Jackson', 'Bill Roberts', 'Jack Kinney', 'Samuel Armstrong']",350000,350000,1,Animation
Dumbo,"['Walt Disney Pictures', 'Tim Burton Productions', 'Infinite Detective Productions', 'Secret Machine Entertainment']",United States,English,170000000,353300000,2019-03-11,Tim Burton,183300000,1050800000,3,Animation
Earth,"['BBC Worldwide', 'Greenlight Media', 'Discovery Channel', 'BBC Natural History Unit']","['France', 'United Kingdom', 'Germany', 'United States']",English,47000000,109000000,2007-10-10,"['Alastair Fothergill', 'Mark Linfield']",62000000,91800000,2,Documentary
Eight Below,"['Walt Disney Pictures', 'Spyglass Entertainment', 'Mandeville Films', 'The Kennedy/Marshall Company']",United States,English,40000000,120500000,2006-02-17,Frank Marshall,80500000,80500000,1,Adventure
Enchanted,,United States,English,85000000,340500000,2007-10-20,Kevin Lima,255500000,354100000,2,Romantic Comedy
Fantasia,Walt Disney Productions,United States,English,2280000,83300000,1940-11-13,"['Samuel Armstrong', 'James Algar', 'Bill Roberts', 'Paul Satterfield', 'Ben Sharpsteen', 'David D. Hand', 'Hamilton Luske', 'Jim Handley', 'Ford Beebe', 'T. Hee', 'Norman Ferguson', 'Wilfred Jackson']",81020000,81020000,1,Animation
Fantasia 2000,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",United States,English,85000000,90900000,1999-12-16,"['Don Hahn', 'Pixote Hunt', 'Hendel Butoy', 'Eric Goldberg', 'James Algar', 'Francis Glebas', 'Paul and Gaรซtan Brizzi']",5900000,5900000,1,Animation
Finding Dory,"['Walt Disney Pictures', 'Pixar Animation Studios']",United States,English,175,1029000000,2016-06-08,Andrew Stanton,1028999825,2194099825,4,Adventure
Finding Nemo,"['Walt Disney Pictures', 'Pixar Animation Studios']",United States,English,94000000,940300000,2003-05-30,Andrew Stanton,846300000,2194099825,4,Adventure
First Kid,"['Walt Disney Pictures', 'Caravan Pictures', 'Roger Birnbaum Productions']",United States,English,15000000,26491793,1996-08-30,David M. Evans,11491793,11491793,1,Comedy
Flight of the Navigator,"['PSO Productions', 'Viking Film AS']","['United States', 'Norway']",English,9000000,18564613,1986-08-01,Randal Kleiser,9564613,49064613,3,Adventure
Flubber,"['Walt Disney Pictures', 'Great Oaks']",United States,English,80000000,178000000,1997-11-16,Les Mayfield,98000000,98000000,1,Comedy
Frankenweenie,"['Walt Disney Pictures', 'Tim Burton Productions']",United States,English,39000000,81500000,2012-09-20,Tim Burton,42500000,1050800000,3,Comedy
Freaky Friday,Walt Disney Productions,United States,English,5000000,36000000,1976-12-20,Gary Nelson,31000000,46800000,2,Comedy
Freaky Friday,"['Walt Disney Pictures', 'Gunn Films']",United States,English,26000000,160800000,2003-08-04,Mark Waters,134800000,134800000,1,Comedy
Frozen,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",United States,English,150000000,1280000000,2013-11-19,"['Chris Buck', 'Jennifer Lee']",1130000000,2430000000,2,Adventure
Frozen II,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",United States,English,150000000,1450000000,2019-11-07,"['Chris Buck', 'Jennifer Lee']",1300000000,2430000000,2,Animation
G-Force,"['Walt Disney Pictures', 'Jerry Bruckheimer Films']",United States,English,150000000,292800000,2009-07-24,Hoyt H. Yeatman Jr.,142800000,142800000,1,Comedy
George of the Jungle,"['Walt Disney Pictures', 'Mandeville Films', 'Jay Ward Productions', 'The Kerner Entertainment Company']",United States,English,55000000,174400000,1997-07-16,Sam Weisman,119400000,119400000,1,Adventure
Ghosts of the Abyss,"['Walt Disney Pictures', 'Walden Media', 'Earthship Productions', 'Ascot Elite Entertainment Group', 'Golden Village', 'Telepool', 'UGC PH']",United States,English,13000000,28700000,2003-03-31,James Cameron,15700000,15700000,1,Documentary
Glory Road,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Texas Western Productions', 'Glory Road Productions']",United States,English,30000000,42900000,2006-01-13,James Gartner,12900000,12900000,1,Drama
Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,"['Walt Disney Pictures', 'PACE']",United States,English,7000000,70600000,2008-02-01,Bruce Hendricks,63600000,63600000,1,Musical
Hannah Montana: The Movie,"['Walt Disney Pictures', ""It's a Laugh Productions"", 'Millar Gough Ink']",United States,English,30000000,169.2,2009-04-10,Peter Chelsom,-29999830.8,-29999830.8,1,Musical
Herbie: Fully Loaded,"['Walt Disney Pictures', 'Robert Simonds Productions']",United States,English,50000000,144100000,2005-06-22,Angela Robinson,94100000,94100000,1,Comedy
Hercules,,United States,English,85000000,252700000,1997-06-13,"['Ron Clements', 'John Musker']",167700000,993099850,4,Adventure
High School Musical 3: Senior Year,"['Walt Disney Pictures', 'Borden & Rosenbush Entertainment']",United States,English,11000000,252900000,2008-10-17,Kenny Ortega,241900000,246600000,3,Musical
Hocus Pocus,Walt Disney Pictures,United States,English,28000000,44900000,1993-07-16,Kenny Ortega,16900000,246600000,3,Comedy
Holes,"['Walt Disney Pictures', 'Walden Media', 'Phoenix Pictures', 'Chicago Pacific Entertainment']",United States,English,20000000,71400000,2003-04-18,Andrew Davis,51400000,51400000,1,Drama
Home on the Range,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",United States,English,110000000,145500000,2004-04-02,"['Will Finn', 'John Sanford']",35500000,35500000,1,Comedy
"Honey, I Blew Up the Kid","['Walt Disney Pictures', 'Touchwood Pacific Partners']",United States,English,40000000,58700000,1992-07-17,Randal Kleiser,18700000,49064613,3,Comedy
"Honey, I Shrunk the Kids","['Walt Disney Pictures', 'Silver Screen Partners III']",United States,English,18000000,222700000,1989-06-23,Joe Johnston,204700000,216400000,2,Adventure
I'll Be Home for Christmas,"['Walt Disney Pictures', 'Mandeville Films']",United States,English,30000000,12200000,1998-11-13,Arlene Sanford,-17800000,-17800000,1,Comedy
Ice Princess,"['Walt Disney Pictures', 'Bridget Johnson Films', 'On The Ice Productions']",United States,English,25000000,27600000,2005-03-18,Tim Fywell,2600000,2600000,1,Comedy
Incredibles 2,,United States,English,200000000,1243000000,2018-06-05,Brad Bird,1043000000,2263699820,4,Animation
Inside Out,"['Walt Disney Pictures', 'Pixar Animation Studios']",United States,English,175000000,858000000,2015-05-18,Pete Docter,683000000,1602800000,4,Adventure
Inspector Gadget,,United States,English,90000000,134400000,1999-07-23,David Kellogg,44400000,44400000,1,Comedy
Into the Woods,"['Walt Disney Pictures', 'Lucamar Productions', 'Marc Platt Productions']",United States,English,50000000,213100000,2014-12-08,Rob Marshall,163100000,1018000000,3,Musical
Invincible,Walt Disney Pictures,United States,English,30000000,58500000,2006-08-25,Ericson Core,28500000,28500000,1,Drama
James and the Giant Peach,"['Walt Disney Pictures', 'Allied Filmmakers', 'Skellington Productions']","['United Kingdom', 'United States']",English,38000000,28900000,1996-04-12,Henry Selick,-9100000,56400000,2,Adventure
John Carter,Walt Disney Pictures,United States,English,306600000,284100000,2012-02-22,Andrew Stanton,-22500000,2194099825,4,Adventure
Jungle 2 Jungle,"['Walt Disney Pictures', 'TF1 International']","['United States', 'France']",English,32000000,59900000,1997-03-07,John Pasquin,27900000,195700000,2,Comedy
Khoobsurat,"['Walt Disney Pictures India', 'Anil Kapoor Films Company']",India,Hindi,3200000,11000000,2014-09-19,Shashanka Ghosh,7800000,7800000,1,Comedy
Lady and the Tramp,Walt Disney Productions,United States,English,4000000,187000000,1955-06-22,"['Clyde Geronimi', 'Wilfred Jackson', 'Hamilton Luske']",183000000,269000000,3,Drama
Lilo & Stitch,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",United States,English,80000000,273100000,2002-06-21,"['Chris Sanders', 'Dean DeBlois']",193100000,193100000,1,Adventure
Make Mine Music,Walt Disney Productions,United States,English,1350000,3275000,1946-04-20,"['Jack Kinney', 'Clyde Geronimi', 'Hamilton Luske', 'Joshua Meador', 'Robert Cormack']",1925000,1925000,1,Animation
Maleficent,"['Walt Disney Pictures', 'Roth Films']",United States,English,180,758500000,2014-05-28,Robert Stromberg,758499820,758499820,1,Adventure
Maleficent: Mistress of Evil,"['Walt Disney Pictures', 'Roth/Kirschenbaum Films']",United States,English,185000000,492700000,2019-10-18,Joachim Rรธnning,307700000,307700000,1,Fantasy
Man of the House,"['Walt Disney Pictures', 'All Girl Productions', 'Orr & Cruickshank Productions']",United States,English,22000000,40070995,1995-03-03,James Orr,18070995,18070995,1,Comedy
March of the Penguins,"['Wild Bunch', 'National Geographic Films', 'Bonne Pioche']",France,French,8000000,127400000,2005-01-26,Luc Jacquet,119400000,119400000,1,Documentary
Mars Needs Moms,"['Walt Disney Pictures', 'ImageMovers Digital']",United States,English,150000000,39200000,2011-03-11,Simon Wells,-110800000,-110800000,1,Adventure
Mary Poppins,Walt Disney Productions,United States,English,4.4,103100000,1964-08-27,Robert Stevenson,103099995.6,162963995.6,4,Musical
Mary Poppins Returns,"['Walt Disney Pictures', 'Lucamar Productions', 'Marc Platt Productions']",United States,English,130000000,349500000,2018-11-29,Rob Marshall,219500000,1018000000,3,Musical
Max Keeble's Big Move,"['Walt Disney Pictures', 'Karz Entertainment']",United States,English,25000000,18600000,2001-10-05,Tim Hill,-6400000,-6400000,1,Comedy
"McFarland, USA","['Walt Disney Pictures', 'Mayhem Pictures']",United States,English,25000000,45700000,2015-02-09,Niki Caro,20700000,-109300000,2,Drama
Meet the Deedles,"['Walt Disney Pictures', 'DIC Entertainment', 'Peak Productions']",United States,English,24000000,4400000,1998-03-27,Steve Boyum,-19600000,-19600000,1,Comedy
Meet the Robinsons,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",United States,English,150000000,169300000,2007-03-23,Stephen Anderson,19300000,19300000,1,Adventure
Melody Time,Walt Disney Productions,United States,English,1500000,2560000,1948-05-27,"['Jack Kinney', 'Clyde Geronimi', 'Hamilton Luske', 'Wilfred Jackson']",1060000,1060000,1,Animation
Mighty Joe Young,"['Walt Disney Pictures', 'RKO Pictures', 'The Jacobson Company']",United States,English,90000000,50600000,1998-12-25,Ron Underwood,-39400000,-39400000,1,Adventure
Million Dollar Arm,"['Walt Disney Pictures', 'Roth Films', 'Mayhem Pictures']",United States,"['English Hindi', 'English', 'Hindi']",25000000,39200000,2014-05-06,Craig Gillespie,14200000,66299930,2,Drama
Miracle,"['Walt Disney Pictures', 'Mayhem Pictures']",United States,English,28000000,64500000,2004-02-06,Gavin O'Connor,36500000,36500000,1,Drama
Moana,,['United States'],English,150,690800000,2016-11-14,"['Ron Clements', 'John Musker']",690799850,993099850,4,Adventure
Monkey Kingdom,"['Disneynature', 'Silverback Films']",United States,English,5,17100000,2015-04-17,"['Mark Linfield', 'Alastair Fothergill']",17099995,17099995,1,Documentary
Monsters University,,United States,English,200000000,743600000,2013-06-05,Dan Scanlon,543600000,685499825,2,Adventure
"Monsters, Inc.","['Walt Disney Pictures', 'Pixar Animation Studios']",United States,English,115000000,577400000,2001-10-28,Pete Docter,462400000,1602800000,4,Adventure
Mr. Magoo,"['Walt Disney Pictures', 'UPA Productions']",United States,English,30000000,28900000,1997-12-25,Stanley Tong,-1100000,-1100000,1,Comedy
Mulan,"['Walt Disney Pictures', 'Jason T. Reed Productions', 'Good Fear Productions']",United States,English,200000000,70000000,2020-03-09,Niki Caro,-130000000,-109300000,2,Adventure
Mulan,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",United States,English,90000000,304300000,1998-06-19,"['Barry Cook', 'Tony Bancroft']",214300000,214300000,1,Adventure
Muppet Treasure Island,"['Walt Disney Pictures', 'Jim Henson Productions']",United States,English,31000000,34300000,1996-02-16,Brian Henson,3300000,18500000,2,Adventure
Muppets Most Wanted,"['Walt Disney Pictures', 'Mandeville Films']",United States,English,51000000,80400000,2014-03-11,James Bobin,29400000,279100000,3,Comedy
My Favorite Martian,Walt Disney Pictures,United States,English,65000000,36800000,1999-02-12,Donald Petrie,-28200000,-28200000,1,Comedy
National Treasure,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Junction Entertainment', 'Saturn Films']",United States,English,100000000,347500000,2004-11-19,Jon Turteltaub,247500000,825200000,5,Adventure
National Treasure: Book of Secrets,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Junction Entertainment', 'Saturn Films']",United States,English,130000000,459200000,2007-12-21,Jon Turteltaub,329200000,825200000,5,Adventure
