title,group,Production company,Country,Language,Running time,Budget,Box office,Release date,imdb,metascore,rotten_tomatoes,Directed by,Produced by,Based on,Starring,Music by,Distributed by,Cinematography,Edited by,Screenplay by,profit,Sum_profit_by_directed,count_title_by_directed,genre
101 Dalmatians,Dalmatians,"['Walt Disney Pictures', 'Great Oaks Entertainment']",United States,English,103,75000000,320700000,27/11/1996,5.7,49,41%,Stephen Herek,"['John Hughes', 'Ricardo Mestres']","['The Hundred and One Dalmatians', 'by', 'Dodie Smith']","['Glenn Close', 'Jeff Daniels', 'Joely Richardson', 'Joan Plowright']",Michael Kamen,Buena Vista Pictures Distribution,Adrian Biddle,Trudy Ship,John Hughes,245700000,306400000,3,Comedy
102 Dalmatians,Dalmatians,"['Walt Disney Pictures', 'Cruella Productions', 'Kanzaman S.A.M. Films']",United States,English,100,85000000,183600000,22/11/2000,4.9,35,31%,Kevin Lima,Edward S. Feldman,,"['Glenn Close', 'Ioan Gruffudd', 'Alice Evans', 'Tim McInnerny', 'Gรฉrard Depardieu']",David Newman,Buena Vista Pictures,Adrian Biddle,Gregory Perler,"['Kristen Buckley', 'Brian Regan', 'Bob Tzudiker', 'Noni White']",98600000,354100000,2,Comedy
"20,000 Leagues Under the Sea","20,000 Leagues Under the Sea",Walt Disney Productions,United States,English,127,5000000,28200000,23/12/1954,7.2,83,89%,Richard Fleischer,Walt Disney,"['Twenty Thousand Leagues Under the Sea', 'by', 'Jules Verne']","['Kirk Douglas', 'James Mason', 'Paul Lukas', 'Peter Lorre']","['Paul Smith', 'Joseph S. Dubin', '(orchestration)']",Buena Vista Distribution,Franz Planer,Elmo Williams,Earl Felton,23200000,23200000,1,Adventure
A Bug's Life,A Bug's Life,"['Walt Disney Pictures', 'Pixar Animation Studios']",United States,English,95,120000000,363300000,20/11/1998,7.2,77,92%,John Lasseter,"['Darla K. Anderson', 'Kevin Reher']",,"['Dave Foley', 'Kevin Spacey', 'Julia Louis-Dreyfus']",Randy Newman,Buena Vista Pictures Distribution,Sharon Calahan,Lee Unkrich,"['Andrew Stanton', 'Donald McEnery', 'Bob Shaw']",243300000,1697800000,5,Adventure
A Christmas Carol,A Christmas Carol,"['Walt Disney Pictures', 'ImageMovers Digital']",United States,English,96,175000000,325000000,3/11/2009,6.8,55,52%,Robert Zemeckis,"['Steve Starkey', 'Robert Zemeckis', 'Jack Rapke']","['A Christmas Carol', 'by', 'Charles Dickens']","['Jim Carrey', 'Gary Oldman', 'Colin Firth', 'Bob Hoskins', 'Robin Wright Penn', 'Cary Elwes']",Alan Silvestri,Walt Disney Studios Motion Pictures,Robert Presley,Jeremiah O'Driscoll,,150000000,150000000,1,Animation
A Kid in King Arthur's Court,A Kid in King Arthur's Court,"['Walt Disney Pictures', 'Trimark Pictures', 'Tapestry Films']","['United Kingdom', 'United States']",English,89,15000000,13400000,11/8/1995,4.7,34,5%,Michael Gottlieb,"['Peter Abrams', 'J.P. Guerin', 'Robert L. Levy']",,"['Thomas Ian Nicholas', 'Joss Ackland', 'Art Malik']",J. A. C. Redford,"['Buena Vista Pictures', '(United States)', 'Trimark Pictures (International)']",Lรกszlรณ Gรกrdonyi,"['Anita Brandt-Burgoyne', 'Michael Ripps']",,-1600000,-1600000,1,Adventure
A Wrinkle in Time,A Wrinkle in Time,,United States,English,109,100,133400000,26/2/2018,4.2,53,42%,Ava DuVernay,"['Jim Whitaker', 'Catherine Hand']","['A Wrinkle in Time', 'by', ""Madeleine L'Engle""]","['Oprah Winfrey', 'Reese Witherspoon', 'Mindy Kaling', 'Levi Miller', 'Storm Reid', 'Gugu Mbatha-Raw', 'Michael Peรฑa', 'Zach Galifianakis', 'Chris Pine']",Ramin Djawadi,"['Walt Disney Studios', 'Motion Pictures']",Tobias A. Schliessler,Spencer Averick,"['Jennifer Lee', 'Jeff Stockwell']",133399900,133399900,1,Fantasy
African Cats,African Cats,"['Disneynature', 'Fothergill / Scholey Productions', 'Silverback Films']","['United States', 'France', 'United Kingdom']","['English', 'French']",89,5000000,30900000,22/4/2011,7.6,61,73%,"['Alastair Fothergill', 'Keith Scholey']","['Alix Tidmarsh', 'Keith Scholey']",,,Nicholas Hooper,Walt Disney Studios Motion Pictures,,,,25900000,42200000,2,Documentary
Air Bud,Air Bud,"['Keystone Pictures', 'Buddy Films, Inc.']","['United States', 'Canada']",English,98,3000000,27800000,1/8/1997,5.2,N/A,45%,Charles Martin Smith,"['Robert Vince', 'William Vince']",,"['Michael Jeter', 'Kevin Zegers', 'Wendy Makkena', 'Eric Christmas', 'Bill Cobbs', 'Air Buddy']",Brahm Wenger,"['Buena Vista Pictures Distribution', '(United States)', 'Malofilm', '(Canada)']",Mike Southon,Alison Grace,,24800000,24800000,1,Comedy
Aladdin,Aladdin,,United States,English,90,28000000,504100000,25/11/1992,8,86,95%,"['John Musker', 'Ron Clements']","['John Musker', 'Ron Clements']",Aladdin and the Magic Lamp from One Thousand and One Nights,"['Scott Weinger', 'Robin Williams', 'Linda Larkin', 'Jonathan Freeman', 'Frank Welker', 'Gilbert Gottfried', 'Douglas Seale']",Alan Menken,Buena Vista Pictures,,"['Mark A. Hester', 'H. Lee Peterson']","['Ron Clements', 'John Musker', 'Ted Elliott', 'Terry Rossio']",476100000,476100000,1,Comedy
